FBID	CHROM	START	END	STRAND
FBgn0031208	2L	7529	9484	+
FBgn0002121	2L	9839	21376	-
FBgn0031209	2L	21823	25155	-
FBgn0263584	2L	21952	24237	+
FBgn0051973	2L	25402	65404	-
FBgn0266878	2L	65999	66242	+
FBgn0266879	2L	66318	66524	+
FBgn0067779	2L	66482	71390	+
FBgn0266322	2L	71039	73836	-
FBgn0031213	2L	71757	76211	+
FBgn0031214	2L	76348	77783	+
FBgn0002931	2L	82421	87387	-
FBgn0031216	2L	94739	102086	+
FBgn0031217	2L	102380	104142	+
FBgn0026787	2L	103962	106732	-
FBgn0005278	2L	106903	114432	+
FBgn0031228	2L	114726	156030	+
FBgn0031219	2L	115365	116488	-
FBgn0031220	2L	116970	121754	-
FBgn0025683	2L	122624	130791	-
FBgn0266304	2L	122837	124031	+
FBgn0001142	2L	132077	134472	+
FBgn0265074	2L	135402	136128	+
FBgn0265075	2L	136144	136701	+
FBgn0051975	2L	138384	140992	-
FBgn0051976	2L	138384	140992	-
FBgn0051974	2L	141077	143091	-
FBgn0031224	2L	143323	144227	+
FBgn0259818	2L	144231	153300	-
FBgn0031227	2L	153539	155305	-
FBgn0031229	2L	156029	157666	+
FBgn0053635	2L	157836	158664	-
FBgn0016977	2L	159032	203397	+
FBgn0031231	2L	203779	204782	+
FBgn0031232	2L	204743	207297	-
FBgn0031233	2L	207179	210725	+
FBgn0266557	2L	210735	250823	-
FBgn0265151	2L	219651	220050	+
FBgn0265153	2L	223519	224708	+
FBgn0265152	2L	228037	228588	+
FBgn0263465	2L	232166	232253	-
FBgn0031235	2L	232487	234208	+
FBgn0262252	2L	243035	243141	-
FBgn0265149	2L	248909	249812	+
FBgn0022246	2L	251039	252373	-
FBgn0031238	2L	252589	271744	-
FBgn0031239	2L	259949	267505	-
FBgn0265150	2L	262203	263003	+
FBgn0031240	2L	269088	271626	+
FBgn0086912	2L	271912	273715	-
FBgn0086856	2L	273836	274766	+
FBgn0086855	2L	274740	278234	-
FBgn0003444	2L	277582	282167	+
FBgn0031244	2L	281670	283269	-
FBgn0031245	2L	283385	291795	-
FBgn0025686	2L	287252	289144	-
FBgn0031247	2L	292419	293222	+
FBgn0017457	2L	292959	294681	-
FBgn0024352	2L	295122	297449	+
FBgn0020622	2L	297880	305233	+
FBgn0004611	2L	305935	355566	+
FBgn0263872	2L	308537	309348	-
FBgn0031248	2L	318362	319259	-
FBgn0031249	2L	320279	321248	-
FBgn0053127	2L	322101	323091	+
FBgn0264086	2L	325522	329761	-
FBgn0051921	2L	329910	332335	-
FBgn0031250	2L	355565	357874	-
FBgn0266907	2L	355663	356891	+
FBgn0266906	2L	357329	358174	+
FBgn0000061	2L	378112	387439	+
FBgn0263871	2L	396120	396571	+
FBgn0031251	2L	396595	402198	-
FBgn0003278	2L	404285	407969	+
FBgn0264855	2L	408030	414777	-
FBgn0263933	2L	415067	418536	+
FBgn0031252	2L	418434	419652	-
FBgn0002593	2L	419952	420864	+
FBgn0031253	2L	420895	421450	-
FBgn0031254	2L	421771	422489	+
FBgn0031255	2L	422873	425321	+
FBgn0004583	2L	431227	448701	+
FBgn0263870	2L	439539	440104	+
FBgn0015924	2L	448254	453024	-
FBgn0031256	2L	453108	454654	+
FBgn0262510	2L	454754	455313	+
FBgn0031257	2L	455531	458745	+
FBgn0031258	2L	458876	475016	-
FBgn0027592	2L	473013	476170	+
FBgn0003963	2L	476220	540560	+
FBgn0043364	2L	476446	479688	-
FBgn0010602	2L	540599	542580	-
FBgn0031260	2L	542786	544653	-
FBgn0005660	2L	544925	552923	-
FBgn0031261	2L	545129	547096	+
FBgn0260933	2L	553742	560310	-
FBgn0031263	2L	559612	560523	+
FBgn0031264	2L	560568	563819	-
FBgn0031265	2L	564163	566472	+
FBgn0021874	2L	566366	568121	-
FBgn0031266	2L	568340	572907	+
FBgn0031267	2L	573033	574264	-
FBgn0031268	2L	574291	575734	+
FBgn0013323	2L	575711	576896	-
FBgn0023489	2L	577486	579549	+
FBgn0010323	2L	583544	594685	-
FBgn0031270	2L	602813	604430	+
FBgn0263657	2L	605914	606412	+
FBgn0263658	2L	608340	609134	-
FBgn0040106	2L	620298	621201	-
FBgn0266032	2L	623107	623665	+
FBgn0266033	2L	623900	624323	-
FBgn0040107	2L	624617	625556	+
FBgn0031273	2L	625652	628200	+
FBgn0266909	2L	628729	629052	+
FBgn0000497	2L	640013	714983	-
FBgn0266323	2L	710568	715307	+
FBgn0011244	2L	728362	730564	+
FBgn0026438	2L	737212	744395	-
FBgn0031275	2L	749945	762399	+
FBgn0265825	2L	772514	773093	+
FBgn0031276	2L	773547	774017	+
FBgn0040725	2L	776536	776941	+
FBgn0031277	2L	779173	779655	+
FBgn0041250	2L	780482	782885	+
FBgn0031279	2L	784336	788776	+
FBgn0000442	2L	786153	790798	-
FBgn0266797	2L	799856	800323	+
FBgn0051658	2L	810577	811531	+
FBgn0086130	2L	811584	813380	+
FBgn0031281	2L	813314	815950	-
FBgn0031282	2L	815993	818096	+
FBgn0031283	2L	816994	817950	-
FBgn0031284	2L	818079	819508	-
FBgn0015621	2L	819964	821209	+
FBgn0031285	2L	821289	824337	+
FBgn0031286	2L	824329	825861	-
FBgn0010583	2L	825969	833241	+
FBgn0020304	2L	833584	851071	-
FBgn0264869	2L	850702	851163	+
FBgn0031287	2L	851251	852730	-
FBgn0020545	2L	852768	854539	+
FBgn0031288	2L	855337	856639	+
FBgn0266884	2L	857403	857795	+
FBgn0262177	2L	857542	857632	+
FBgn0031289	2L	860309	861806	+
FBgn0029095	2L	861849	868354	-
FBgn0086031	2L	865366	865493	-
FBgn0020305	2L	868673	869857	-
FBgn0053526	2L	870465	877038	+
FBgn0031292	2L	877172	885141	-
FBgn0002936	2L	877302	878270	+
FBgn0266887	2L	897453	898050	-
FBgn0002563	2L	898500	901316	+
FBgn0003916	2L	901491	901654	-
FBgn0266799	2L	904029	904347	+
FBgn0264870	2L	912981	913305	-
FBgn0046113	2L	914086	917805	+
FBgn0028481	2L	922793	958098	+
FBgn0266036	2L	987899	991300	-
FBgn0031294	2L	1008378	1048053	-
FBgn0031295	2L	1026105	1026897	-
FBgn0031296	2L	1037246	1038685	+
FBgn0003310	2L	1049674	1077815	-
FBgn0015905	2L	1077948	1080803	+
FBgn0031298	2L	1080911	1085380	+
FBgn0031299	2L	1083091	1102504	-
FBgn0261938	2L	1103254	1108373	-
FBgn0031301	2L	1108540	1112694	+
FBgn0031302	2L	1112941	1114138	+
FBgn0016926	2L	1114654	1128953	-
FBgn0031304	2L	1129316	1132411	+
FBgn0031305	2L	1132332	1134098	-
FBgn0031306	2L	1134693	1141156	+
FBgn0267281	2L	1142869	1143216	+
FBgn0031307	2L	1143201	1147395	+
FBgn0031308	2L	1147822	1149449	+
FBgn0031309	2L	1149445	1150677	-
FBgn0031310	2L	1150766	1151764	+
FBgn0261458	2L	1151678	1158262	-
FBgn0264267	2L	1158576	1159355	-
FBgn0031312	2L	1158661	1160220	+
FBgn0031313	2L	1160290	1163886	-
FBgn0031314	2L	1164443	1166425	+
FBgn0031315	2L	1166506	1167211	+
FBgn0024314	2L	1167172	1170365	-
FBgn0051922	2L	1170181	1170789	+
FBgn0031317	2L	1170753	1172805	-
FBgn0031318	2L	1173009	1177589	+
FBgn0031319	2L	1177690	1182454	+
FBgn0031320	2L	1182297	1184020	-
FBgn0031321	2L	1184065	1185698	+
FBgn0031322	2L	1185757	1196807	+
FBgn0031323	2L	1198465	1199266	-
FBgn0263080	2L	1199412	1199924	+
FBgn0263081	2L	1200205	1200663	+
FBgn0040723	2L	1200671	1201220	+
FBgn0031324	2L	1204215	1205250	+
FBgn0266885	2L	1214649	1215293	-
FBgn0262944	2L	1216854	1217785	-
FBgn0259229	2L	1219293	1229802	+
FBgn0031327	2L	1240036	1243018	+
FBgn0041097	2L	1256417	1296596	+
FBgn0011294	2L	1329161	1329993	+
FBgn0031331	2L	1334128	1335514	+
FBgn0053923	2L	1341365	1342095	-
FBgn0053922	2L	1343443	1344171	-
FBgn0026141	2L	1344400	1345135	+
FBgn0266357	2L	1345501	1345840	-
FBgn0266358	2L	1345965	1346331	-
FBgn0031332	2L	1351728	1352868	-
FBgn0031333	2L	1352970	1354109	-
FBgn0051924	2L	1354101	1354919	-
FBgn0031335	2L	1354911	1355924	-
FBgn0051659	2L	1358925	1359790	-
FBgn0053126	2L	1359837	1361821	-
FBgn0031337	2L	1367996	1369050	+
FBgn0266203	2L	1380083	1381326	-
FBgn0002543	2L	1380086	1420453	-
FBgn0266202	2L	1381211	1382796	+
FBgn0263320	2L	1428474	1429159	+
FBgn0003926	2L	1432711	1432921	+
FBgn0263321	2L	1442627	1443832	+
FBgn0051928	2L	1492295	1493859	+
FBgn0053128	2L	1494070	1495456	+
FBgn0051926	2L	1495460	1497071	+
FBgn0051661	2L	1497243	1498583	+
FBgn0031343	2L	1498455	1500608	-
FBgn0031344	2L	1500784	1502904	-
FBgn0264873	2L	1500830	1504204	+
FBgn0031345	2L	1516795	1517478	-
FBgn0001174	2L	1517533	1518148	-
FBgn0264881	2L	1520034	1520387	-
FBgn0026398	2L	1520491	1522156	+
FBgn0026397	2L	1522697	1524257	+
FBgn0261509	2L	1555129	1608404	+
FBgn0031347	2L	1584866	1587155	-
FBgn0051935	2L	1594822	1611157	-
FBgn0031351	2L	1611410	1612576	+
FBgn0021906	2L	1612429	1614160	-
FBgn0265814	2L	1618637	1626021	-
FBgn0267259	2L	1646932	1647163	-
FBgn0086758	2L	1651258	1704682	+
FBgn0011570	2L	1704902	1706962	+
FBgn0031356	2L	1707132	1710421	-
FBgn0266311	2L	1708452	1709244	+
FBgn0031357	2L	1710462	1711465	+
FBgn0086698	2L	1711302	1715851	-
FBgn0031359	2L	1716244	1724388	-
FBgn0000579	2L	1724768	1729636	-
FBgn0260648	2L	1728732	1729762	+
FBgn0031360	2L	1729887	1731070	+
FBgn0031361	2L	1731033	1732356	-
FBgn0264494	2L	1732524	1750612	+
FBgn0027597	2L	1750687	1752122	-
FBgn0031364	2L	1752308	1752848	+
FBgn0041249	2L	1755253	1756451	-
FBgn0031365	2L	1758286	1759093	-
FBgn0045497	2L	1784062	1785286	+
FBgn0045498	2L	1789141	1790361	-
FBgn0265138	2L	1790617	1791823	-
FBgn0045500	2L	1792057	1793268	-
FBgn0045501	2L	1793668	1794917	-
FBgn0051933	2L	1821256	1823331	-
FBgn0051664	2L	1824172	1826500	-
FBgn0031367	2L	1831627	1832565	-
FBgn0262275	2L	1831685	1831799	-
FBgn0051665	2L	1836538	1858550	+
FBgn0264882	2L	1839494	1839896	-
FBgn0264883	2L	1840070	1840808	-
FBgn0051663	2L	1858609	1881480	-
FBgn0031372	2L	1869803	1871032	+
FBgn0264884	2L	1872693	1873511	+
FBgn0031373	2L	1882201	1884059	-
FBgn0031374	2L	1884622	1944289	+
FBgn0011859	2L	1938089	1938159	-
FBgn0040719	2L	1945150	1945709	-
FBgn0053673	2L	1945815	1946728	-
FBgn0031375	2L	1950239	1970362	-
FBgn0051942	2L	1965426	1965498	+
FBgn0031376	2L	1973957	1975413	+
FBgn0031377	2L	1975463	1980755	-
FBgn0031378	2L	1981176	1982099	+
FBgn0031379	2L	1982217	1984514	+
FBgn0001125	2L	1984512	1987758	-
FBgn0031381	2L	1988290	1988940	+
FBgn0262148	2L	1989450	1990894	+
FBgn0043539	2L	1991381	1992160	-
FBgn0053543	2L	1997102	2006313	-
FBgn0263441	2L	2000058	2003935	+
FBgn0040718	2L	2006763	2007193	-
FBgn0267276	2L	2006867	2007688	+
FBgn0040717	2L	2008414	2009072	+
FBgn0051943	2L	2009155	2009226	+
FBgn0051944	2L	2009538	2009609	+
FBgn0031384	2L	2009859	2030788	+
FBgn0051939	2L	2010646	2010717	-
FBgn0051940	2L	2010869	2010940	-
FBgn0051669	2L	2013179	2013250	-
FBgn0011860	2L	2031692	2031762	+
FBgn0259192	2L	2032519	2036041	-
FBgn0259230	2L	2036409	2037265	-
FBgn0003557	2L	2037714	2044372	+
FBgn0266836	2L	2044517	2045381	-
FBgn0028952	2L	2045494	2048054	+
FBgn0026396	2L	2054589	2057967	+
FBgn0053516	2L	2058790	2109878	-
FBgn0031388	2L	2079919	2081286	+
FBgn0266043	2L	2082031	2082347	+
FBgn0264864	2L	2083362	2084419	+
FBgn0031389	2L	2127309	2129237	-
FBgn0004507	2L	2130813	2137296	+
FBgn0031390	2L	2137350	2145187	-
FBgn0031391	2L	2145297	2147275	-
FBgn0027509	2L	2147518	2151664	+
FBgn0031392	2L	2151754	2155389	+
FBgn0031393	2L	2155753	2156790	+
FBgn0000097	2L	2156484	2178754	-
FBgn0265017	2L	2181962	2185495	+
FBgn0264875	2L	2186975	2187970	-
FBgn0051946	2L	2187007	2187079	+
FBgn0266828	2L	2188620	2189405	-
FBgn0031395	2L	2189914	2192386	-
FBgn0264874	2L	2190191	2191272	+
FBgn0085201	2L	2192525	2197912	-
FBgn0051668	2L	2203721	2206166	-
FBgn0053124	2L	2206525	2209102	-
FBgn0031397	2L	2209574	2212571	-
FBgn0010288	2L	2212738	2214211	-
FBgn0085203	2L	2214266	2215167	+
FBgn0031398	2L	2214972	2216311	-
FBgn0040715	2L	2216503	2217246	-
FBgn0259717	2L	2216503	2217246	-
FBgn0031399	2L	2217290	2220625	+
FBgn0031401	2L	2220748	2225544	+
FBgn0031403	2L	2225545	2226294	-
